,date_channel,count,date,channel_name
0,2018-06-09dam-assign-3,458,2018-06-09,dam-assign-3
1,2018-09-30spring_stds_assign2,364,2018-09-30,spring_stds_assign2
2,2018-06-08dam-assign-3,341,2018-06-08,dam-assign-3
3,2018-06-10dam-assign-3,325,2018-06-10,dam-assign-3
4,2016-09-09dev_r,267,2016-09-09,dev_r
5,2018-09-27spring_stds_assign2,233,2018-09-27,spring_stds_assign2
6,2018-05-26groupadnan,229,2018-05-26,groupadnan
7,2018-09-02spring_stds_assign2,217,2018-09-02,spring_stds_assign2
8,2018-06-04dam-assign-3,198,2018-06-04,dam-assign-3
9,2018-09-29spring_stds_assign2,196,2018-09-29,spring_stds_assign2
10,2016-09-15dev_r,196,2016-09-15,dev_r
11,2018-06-07dam-assign-3,182,2018-06-07,dam-assign-3
12,2016-08-21ds_hackathon_unearth,173,2016-08-21,ds_hackathon_unearth
13,2018-09-23mdsi_stds_proj,164,2018-09-23,mdsi_stds_proj
14,2016-10-05ds_hackathons,154,2016-10-05,ds_hackathons
15,2018-06-06dam-assign-3,154,2018-06-06,dam-assign-3
16,2018-09-24spring_stds_assign2,150,2018-09-24,spring_stds_assign2
17,2018-09-29mdsi_stds_proj,150,2018-09-29,mdsi_stds_proj
18,2018-06-11dam-assign-3,138,2018-06-11,dam-assign-3
19,2018-05-26mdsi_dam_aut_18,129,2018-05-26,mdsi_dam_aut_18
20,2018-09-08govhack2018,125,2018-09-08,govhack2018
21,2018-09-30mdsi_stds_proj,125,2018-09-30,mdsi_stds_proj
22,2018-05-25groupadnan,121,2018-05-25,groupadnan
23,2017-10-29dev_r,119,2017-10-29,dev_r
24,2018-05-22dadmat2,113,2018-05-22,dadmat2
25,2018-09-07govhack2018,110,2018-09-07,govhack2018
26,2018-04-18mdsi_dam_aut_18,110,2018-04-18,mdsi_dam_aut_18
27,2018-05-27mdsi_dam_aut_18,109,2018-05-27,mdsi_dam_aut_18
28,2016-05-31algroup,105,2016-05-31,algroup
29,2016-07-18dev_r,100,2016-07-18,dev_r
30,2017-08-1536100decepticons,99,2017-08-15,36100decepticons
31,2016-08-13dev_r,98,2016-08-13,dev_r
32,2016-09-20dev_r,94,2016-09-20,dev_r
33,2018-09-01mdsi_stds_proj,92,2018-09-01,mdsi_stds_proj
34,2018-09-24mdsi_stds_proj,87,2018-09-24,mdsi_stds_proj
35,2017-08-0636100decepticons,85,2017-08-06,36100decepticons
36,2018-09-29inconvenienttruth,83,2018-09-29,inconvenienttruth
37,2018-05-17mdsi_dam_aut_18,83,2018-05-17,mdsi_dam_aut_18
38,2017-11-08mdsi_deeplearn_spr_17,80,2017-11-08,mdsi_deeplearn_spr_17
39,2016-10-13mdsi_announcements,75,2016-10-13,mdsi_announcements
40,2017-08-08mdsi_deeplearn_spr_17,75,2017-08-08,mdsi_deeplearn_spr_17
41,2018-09-17spring_stds_assign2,75,2018-09-17,spring_stds_assign2
42,2019-03-17dev_r,74,2019-03-17,dev_r
43,2018-11-04multivariate_spr_18,74,2018-11-04,multivariate_spr_18
44,2018-09-22spring_stds_assign2,73,2018-09-22,spring_stds_assign2
45,2018-08-30dev_r,72,2018-08-30,dev_r
46,2018-04-28mdsi_dadm_aut_18,72,2018-04-28,mdsi_dadm_aut_18
47,2017-04-03mdsi_cicaround_help,71,2017-04-03,mdsi_cicaround_help
48,2018-09-23spring_stds_assign2,69,2018-09-23,spring_stds_assign2
49,2019-02-21dev_r,68,2019-02-21,dev_r
50,2018-09-27mdsi_stds_proj,68,2018-09-27,mdsi_stds_proj
51,2017-09-2836100decepticons,68,2017-09-28,36100decepticons
52,2017-11-09dev_r,67,2017-11-09,dev_r
53,2017-09-30pv_dam2017,67,2017-09-30,pv_dam2017
54,2017-04-23databusters,65,2017-04-23,databusters
55,2017-07-24dev_python,64,2017-07-24,dev_python
56,2017-08-08dev_python,64,2017-08-08,dev_python
57,2018-05-27dadmat2,64,2018-05-27,dadmat2
58,2019-02-27dev_r,63,2019-02-27,dev_r
59,2016-10-05dev_r,62,2016-10-05,dev_r
60,2016-08-19ds_hackathon_unearth,61,2016-08-19,ds_hackathon_unearth
61,2017-08-2536100decepticons,59,2017-08-25,36100decepticons
62,2017-03-24sleepyheads,59,2017-03-24,sleepyheads
63,2017-05-23dev_r,58,2017-05-23,dev_r
64,2018-09-30multivariate_spr_18,57,2018-09-30,multivariate_spr_18
65,2016-08-05social-mining,57,2016-08-05,social-mining
66,2016-08-12databusters,57,2016-08-12,databusters
67,2017-08-12dev_r,57,2017-08-12,dev_r
68,2016-08-23online-courses,56,2016-08-23,online-courses
69,2017-08-1336100decepticons,55,2017-08-13,36100decepticons
70,2017-02-05study-group,55,2017-02-05,study-group
71,2017-07-21mdsi_deeplearn_spr_17,54,2017-07-21,mdsi_deeplearn_spr_17
72,2017-09-24pv_dam2017,53,2017-09-24,pv_dam2017
73,2018-04-19mdsi_dam_aut_18,53,2018-04-19,mdsi_dam_aut_18
74,2018-09-15mdsi_stds_proj,53,2018-09-15,mdsi_stds_proj
75,2018-09-26dev_r,52,2018-09-26,dev_r
76,2017-03-23mdsi_electives,52,2017-03-23,mdsi_electives
77,2018-10-19mdsi_announcements,51,2018-10-19,mdsi_announcements
78,2017-08-1436100decepticons,51,2017-08-14,36100decepticons
79,2019-02-22dev_r,51,2019-02-22,dev_r
80,2017-05-20mdsi_dam_aut_18,49,2017-05-20,mdsi_dam_aut_18
81,2019-03-07mdsi_announcements,49,2019-03-07,mdsi_announcements
82,2017-08-0836100decepticons,48,2017-08-08,36100decepticons
83,2017-06-05dev_python,48,2017-06-05,dev_python
84,2018-05-07dna,47,2018-05-07,dna
85,2017-10-20mdsi_electives,47,2017-10-20,mdsi_electives
86,2016-10-19dev_r,46,2016-10-19,dev_r
87,2018-09-22mdsi_stds_proj,46,2018-09-22,mdsi_stds_proj
88,2018-04-03dev_data_vis,46,2018-04-03,dev_data_vis
89,2018-09-28mdsi_stds_proj,46,2018-09-28,mdsi_stds_proj
90,2018-09-25spring_stds_assign2,45,2018-09-25,spring_stds_assign2
91,2016-11-08bot_test,45,2016-11-08,bot_test
92,2016-09-09pedxhack,44,2016-09-09,pedxhack
93,2016-08-12ds_protips,44,2016-08-12,ds_protips
94,2018-10-18mdsi_electives,44,2018-10-18,mdsi_electives
95,2017-09-25pv_dam2017,44,2017-09-25,pv_dam2017
96,2017-06-21dadm_aut_17,44,2017-06-21,dadm_aut_17
97,2016-08-23ds_hackathons,44,2016-08-23,ds_hackathons
98,2017-06-08mdsi_electives,43,2017-06-08,mdsi_electives
99,2018-05-23mdsi_dam_aut_18,43,2018-05-23,mdsi_dam_aut_18
100,2016-11-10dev_r,43,2016-11-10,dev_r
101,2016-11-01dev_r,43,2016-11-01,dev_r
102,2016-09-21ds_cool_stuff,42,2016-09-21,ds_cool_stuff
103,2017-04-27dev_machine_learning,42,2017-04-27,dev_machine_learning
104,2017-04-02study-group,41,2017-04-02,study-group
105,2018-09-28inconvenienttruth,41,2018-09-28,inconvenienttruth
106,2016-08-25dev_r,41,2016-08-25,dev_r
107,2019-03-20mdsi_deeplearn_aut_19,41,2019-03-20,mdsi_deeplearn_aut_19
108,2018-04-13mdsi_dadm_aut_18,41,2018-04-13,mdsi_dadm_aut_18
109,2017-07-24mdsi_deeplearn_spr_17,41,2017-07-24,mdsi_deeplearn_spr_17
110,2018-08-31spring_stds_assign2,40,2018-08-31,spring_stds_assign2
111,2018-09-09govhack2018,40,2018-09-09,govhack2018
112,2018-05-29mdsi_dam_aut_18,39,2018-05-29,mdsi_dam_aut_18
113,2019-02-28dev_r,39,2019-02-28,dev_r
114,2018-05-12dvn-team-1,39,2018-05-12,dvn-team-1
115,2019-03-07dev_machine_learning,39,2019-03-07,dev_machine_learning
116,2017-08-21mdsi_deeplearn_spr_17,39,2017-08-21,mdsi_deeplearn_spr_17
117,2017-08-0936100decepticons,39,2017-08-09,36100decepticons
118,2018-12-18ds_protips,39,2018-12-18,ds_protips
119,2017-06-04dev_r,39,2017-06-04,dev_r
120,2018-04-15mdsi_dadm_aut_18,39,2018-04-15,mdsi_dadm_aut_18
121,2017-04-26dev_r,38,2017-04-26,dev_r
122,2018-05-25mdsi_dam_aut_18,38,2018-05-25,mdsi_dam_aut_18
123,2017-08-23mdsi_deeplearn_spr_17,38,2017-08-23,mdsi_deeplearn_spr_17
124,2018-06-12mdsi_dam_aut_18,38,2018-06-12,mdsi_dam_aut_18
125,2018-09-10mdsi_stds_proj,38,2018-09-10,mdsi_stds_proj
126,2016-06-14dev_r,38,2016-06-14,dev_r
127,2016-08-15databusters,38,2016-08-15,databusters
128,2017-03-19study-group,38,2017-03-19,study-group
