,date,count,weekday
0,2018-09-30,552,Sunday
1,2018-06-09,486,Saturday
2,2018-09-29,435,Saturday
3,2018-05-26,395,Saturday
4,2018-06-08,352,Friday
5,2018-06-10,335,Sunday
6,2018-09-27,335,Thursday
7,2016-09-09,325,Friday
8,2018-09-23,301,Sunday
9,2018-09-02,267,Sunday
10,2018-09-24,265,Monday
11,2016-10-05,261,Wednesday
12,2016-09-15,227,Thursday
13,2018-06-04,217,Monday
14,2017-08-08,211,Tuesday
15,2018-05-27,207,Sunday
16,2018-06-07,207,Thursday
17,2018-05-25,195,Friday
18,2016-08-21,190,Sunday
19,2016-08-13,177,Saturday
20,2018-05-22,167,Tuesday
21,2018-06-06,164,Wednesday
22,2018-09-26,157,Wednesday
23,2018-09-08,148,Saturday
24,2018-06-11,142,Monday
25,2017-10-29,139,Sunday
26,2018-09-17,138,Monday
27,2018-09-07,137,Friday
28,2018-09-22,136,Saturday
29,2018-09-28,135,Friday
30,2016-08-23,132,Tuesday
31,2018-04-18,128,Wednesday
32,2017-08-06,125,Sunday
33,2017-07-24,120,Monday
34,2016-08-12,120,Friday
35,2019-03-07,119,Thursday
36,2016-09-20,117,Tuesday
37,2016-07-18,113,Monday
38,2018-09-01,109,Saturday
39,2017-11-08,108,Wednesday
40,2017-08-15,106,Tuesday
41,2016-05-31,105,Tuesday
42,2019-03-17,104,Sunday
43,2016-08-05,103,Friday
44,2016-10-22,102,Saturday
45,2018-08-30,101,Thursday
46,2018-09-20,101,Thursday
47,2017-03-24,100,Friday
48,2018-05-24,98,Thursday
49,2017-04-04,96,Tuesday
50,2017-04-03,96,Monday
51,2017-05-20,94,Saturday
52,2018-05-17,94,Thursday
53,2016-08-25,93,Thursday
54,2019-03-21,93,Thursday
55,2019-02-27,91,Wednesday
56,2016-09-06,91,Tuesday
57,2017-09-24,90,Sunday
58,2018-10-19,89,Friday
59,2017-03-23,89,Thursday
60,2018-05-23,88,Wednesday
61,2017-04-23,87,Sunday
62,2017-06-02,86,Friday
63,2016-08-17,86,Wednesday
64,2019-02-21,85,Thursday
65,2016-08-19,84,Friday
66,2017-09-28,84,Thursday
67,2017-08-13,84,Sunday
68,2018-11-04,84,Sunday
69,2017-06-05,83,Monday
70,2016-10-13,82,Thursday
71,2017-11-09,81,Thursday
72,2018-09-25,81,Tuesday
73,2017-04-05,81,Wednesday
74,2017-08-14,80,Monday
75,2017-08-25,79,Friday
76,2018-05-12,79,Saturday
77,2017-06-21,79,Wednesday
78,2017-04-09,77,Sunday
79,2018-04-28,76,Saturday
80,2016-11-10,76,Thursday
81,2017-07-21,75,Friday
82,2018-04-19,75,Thursday
83,2017-04-27,74,Thursday
84,2016-08-11,72,Thursday
85,2018-09-15,70,Saturday
86,2016-08-15,69,Monday
87,2016-09-07,69,Wednesday
88,2016-08-24,69,Wednesday
89,2017-08-12,69,Saturday
90,2017-09-30,68,Saturday
91,2017-03-14,67,Tuesday
92,2019-03-19,67,Tuesday
93,2016-08-18,66,Thursday
94,2017-05-23,66,Tuesday
